新流行,2017-06-05 08:59:28.529117,新流行 自動掃地神器自動掃地機手推式不用電手動清潔神器 掃地機掃把機畚箕,250,http://seller.pcstore.com.tw/S149275908/C1085686715.htm,每筆訂單運費，宅配150元、7-11純取貨60元、7-11取貨付款60元,
579 舖,2017-06-05 08:59:28.878347,興家安速  免水洗冷氣清潔劑 3款  芬芳花香 清新森林 無香味,179,http://seller.pcstore.com.tw/S172830307/C1074029643.htm,購物滿999 元(含)以上免運費，未滿 999 元者自付運費，郵局85元、7-11純取貨60元、7-11取貨付款60元,
新安堂,2017-06-05 08:59:28.974777,新安堂-未稅-過碳酸鈉 1kg （韓國）,38,http://seller.pcstore.com.tw/S173067786/C1096507002.htm,購物滿9999 元(含)以上免運費，未滿 9999 元者自付運費，宅配100元、7-11純取貨60元、7-11取貨付款60元,
U-mop 手壓式旋轉拖把 適用好神拖,2017-06-05 08:59:29.155733,珊瑚絨除塵去汙布*2,100,http://seller.pcstore.com.tw/S199846877/C1079493819.htm,購物滿599 元(含)以上免運費，未滿 599 元者自付運費，7-11純取貨60元、7-11取貨付款60元,
＊可愛小物黑皮購,2017-06-05 08:59:29.318211,日本 P&G; 雙倍洗衣凝膠球(補充包),125,http://seller.pcstore.com.tw/S141546682/C1091031985.htm,免運費送到家,
掃把、拖把,2017-06-05 08:59:30.165175,百鈴髒會滅油汙擦地布(免沾手自擠式平板拖把)/4條,300,http://www.pcstore.com.tw/bellring/M17147381.htm,,
◈各式曬衣桿/伸縮桿,2017-06-05 08:59:30.373768,〝☆4公尺獨家奈米複合不鏽鋼伸縮桿(防風款)☆〞獨家！真正防鏽！各種曬衣架通用曬衣桿,499,http://www.pcstore.com.tw/anasa/M13482707.htm,,
Kira小舖,2017-06-05 08:59:30.658643,神奇抹布,99,http://seller.pcstore.com.tw/S156275373/C1096390388.htm,購物滿9999 元(含)以上免運費，未滿 9999 元者自付運費，宅配150元、郵局120元、7-11純取貨60元、7-11取貨付款60元,
新次元,2017-06-05 08:59:31.543671,現貨p&g18;入洗衣膠球洗衣球洗衣膠囊洗衣精粉香顆粒香香豆4色現貨,108,http://seller.pcstore.com.tw/S175477573/C1096503020.htm,購物滿199 元(含)以上免運費，未滿 199 元者自付運費，7-11取貨付款60元,
加入追蹤,2017-06-05 08:59:31.562864,Livi優活抽取式衛生紙(150抽X10包X8串/箱)-共80包,799,http://www.pcstore.com.tw/pchome24h/M21296033.htm,,
加入追蹤,2017-06-05 08:59:31.630399,★輕巧包↘$9.35/包 ★舒潔 萬用輕巧包抽取衛生紙(120抽x10包x10串/箱),935,http://www.pcstore.com.tw/pchome24h/M18661721.htm,,
日本清潔用品  批發 團購,2017-06-05 08:59:31.719119,P&G;  洗衣膠球  【10顆/盒裝】,69,http://seller.pcstore.com.tw/S101526767/C1091708725.htm,購物滿5200 元(含)以上免運費，未滿 5200 元者自付運費，宅配58元、7-11取貨付款60元,
居家一般清潔用品,2017-06-05 08:59:32.798375,(2入特惠組) 柳丁系列~ 除鏽大師................輕鬆去除各種生鏽,143,http://www.pcstore.com.tw/loftyidea/M12664521.htm,,
美國/日本GONESH綜合館,2017-06-05 08:59:32.829290,日本GONESH#8春之薄霧空氣芳香膠(固體)78g,220,http://www.pcstore.com.tw/bbco/M07074941.htm,,
【淨の伊】水垢剋星,2017-06-05 08:59:33.036919,【淨ソ伊】水垢剋星  去污清潔劑 750g(含噴頭), 元,http://www.pcstore.com.tw/uenature/M19698227.htm,,
ppato全新商品便宜賣,2017-06-05 08:59:33.083409,毛寶洗衣精500G特價40,40,http://seller.pcstore.com.tw/S191621614/C1083210112.htm,購物滿199 元(含)以上免運費，未滿 199 元者自付運費，宅配180元、郵局65元、7-11取貨付款65元,
老王及王太,2017-06-05 08:59:33.289242,濕紙巾大包套餐，一箱12包～因超商規定寄貨大小，一筆訂單只能寄一箱！,470,http://seller.pcstore.com.tw/S142485579/C1082706834.htm,每筆訂單運費，宅配100元、郵局100元、7-11取貨付款60元,
加入追蹤,2017-06-05 08:59:33.518145,優活 單抽式柔拭紙巾(300抽x30包/箱),299,http://www.pcstore.com.tw/pchome24h/M15736254.htm,,
春風的店,2017-06-05 08:59:33.928265,艾草養生無毒防護薰香 鐵盒15捲(可拆成30環)  環保紙盒16捲(可拆成32環) 花壇艾草之家 艾草蚊香,190,http://seller.pcstore.com.tw/S120738763/C1085607614.htm,免運費送到家,
